,from,to,value,study
1,aliskiren,acebutolol,0,CCAE
2,amiloride,acebutolol,0,CCAE
3,amlodipine,acebutolol,0,CCAE
4,atenolol,acebutolol,0,CCAE
5,azilsartan,acebutolol,0,CCAE
6,benazepril,acebutolol,0,CCAE
7,betaxolol,acebutolol,0,CCAE
8,bisoprolol,acebutolol,0,CCAE
9,bumetanide,acebutolol,0,CCAE
10,candesartan,acebutolol,0,CCAE
11,captopril,acebutolol,0,CCAE
12,carvedilol,acebutolol,0,CCAE
13,chlorthalidone,acebutolol,0,CCAE
14,clonidine,acebutolol,0,CCAE
15,diltiazem,acebutolol,0,CCAE
16,doxazosin,acebutolol,0,CCAE
17,enalapril,acebutolol,0,CCAE
18,eplerenone,acebutolol,0,CCAE
19,eprosartan,acebutolol,0,CCAE
20,felodipine,acebutolol,0,CCAE
21,fosinopril,acebutolol,0,CCAE
22,furosemide,acebutolol,0,CCAE
23,guanfacine,acebutolol,0,CCAE
24,hydralazine,acebutolol,0,CCAE
25,hydrochlorothiazide,acebutolol,0,CCAE
26,indapamide,acebutolol,0,CCAE
27,irbesartan,acebutolol,0,CCAE
28,isradipine,acebutolol,0,CCAE
29,labetalol,acebutolol,0,CCAE
30,lisinopril,acebutolol,0,CCAE
31,losartan,acebutolol,0,CCAE
32,methyldopa,acebutolol,0,CCAE
33,metolazone,acebutolol,0,CCAE
34,metoprolol,acebutolol,0,CCAE
35,minoxidil,acebutolol,0,CCAE
36,moexipril,acebutolol,0,CCAE
37,nadolol,acebutolol,0,CCAE
38,nebivolol,acebutolol,0,CCAE
39,nicardipine,acebutolol,0,CCAE
40,nifedipine,acebutolol,0,CCAE
41,nisoldipine,acebutolol,0,CCAE
42,olmesartan,acebutolol,0,CCAE
43,penbutolol,acebutolol,0,CCAE
44,perindopril,acebutolol,0,CCAE
45,pindolol,acebutolol,0,CCAE
46,prazosin,acebutolol,0,CCAE
47,propranolol,acebutolol,0,CCAE
48,quinapril,acebutolol,0,CCAE
49,ramipril,acebutolol,0,CCAE
50,spironolactone,acebutolol,0,CCAE
51,telmisartan,acebutolol,0,CCAE
52,terazosin,acebutolol,0,CCAE
53,torsemide,acebutolol,0,CCAE
54,trandolapril,acebutolol,0,CCAE
55,triamterene,acebutolol,0,CCAE
56,valsartan,acebutolol,0,CCAE
57,verapamil,acebutolol,0,CCAE
58,co-amilozide,acebutolol,0,CCAE
59,amiloride,aliskiren,0,CCAE
60,amlodipine,aliskiren,0,CCAE
61,atenolol,aliskiren,0,CCAE
62,azilsartan,aliskiren,0,CCAE
63,benazepril,aliskiren,0,CCAE
64,betaxolol,aliskiren,0,CCAE
65,bisoprolol,aliskiren,0,CCAE
66,bumetanide,aliskiren,0,CCAE
67,candesartan,aliskiren,0,CCAE
68,captopril,aliskiren,0,CCAE
69,carvedilol,aliskiren,0,CCAE
70,chlorthalidone,aliskiren,0,CCAE
71,clonidine,aliskiren,0,CCAE
72,diltiazem,aliskiren,0,CCAE
73,doxazosin,aliskiren,0,CCAE
74,enalapril,aliskiren,0,CCAE
75,eplerenone,aliskiren,0,CCAE
76,eprosartan,aliskiren,0,CCAE
77,felodipine,aliskiren,0,CCAE
78,fosinopril,aliskiren,0,CCAE
79,furosemide,aliskiren,0,CCAE
80,guanfacine,aliskiren,0,CCAE
81,hydralazine,aliskiren,0,CCAE
82,hydrochlorothiazide,aliskiren,0,CCAE
83,indapamide,aliskiren,0,CCAE
84,irbesartan,aliskiren,0,CCAE
85,isradipine,aliskiren,0,CCAE
86,labetalol,aliskiren,0,CCAE
87,lisinopril,aliskiren,0,CCAE
88,losartan,aliskiren,0,CCAE
89,methyldopa,aliskiren,0,CCAE
90,metolazone,aliskiren,0,CCAE
91,metoprolol,aliskiren,0,CCAE
92,minoxidil,aliskiren,0,CCAE
93,moexipril,aliskiren,0,CCAE
94,nadolol,aliskiren,0,CCAE
95,nebivolol,aliskiren,0,CCAE
96,nicardipine,aliskiren,0,CCAE
97,nifedipine,aliskiren,0,CCAE
98,nisoldipine,aliskiren,0,CCAE
99,olmesartan,aliskiren,0,CCAE
100,penbutolol,aliskiren,0,CCAE
101,perindopril,aliskiren,0,CCAE
102,pindolol,aliskiren,0,CCAE
103,prazosin,aliskiren,0,CCAE
104,propranolol,aliskiren,0,CCAE
105,quinapril,aliskiren,0,CCAE
106,ramipril,aliskiren,0,CCAE
107,spironolactone,aliskiren,0,CCAE
108,telmisartan,aliskiren,0,CCAE
109,terazosin,aliskiren,0,CCAE
110,torsemide,aliskiren,0,CCAE
111,trandolapril,aliskiren,0,CCAE
112,triamterene,aliskiren,0,CCAE
113,valsartan,aliskiren,0,CCAE
114,verapamil,aliskiren,0,CCAE
115,co-amilozide,aliskiren,0,CCAE
116,amlodipine,amiloride,0,CCAE
117,atenolol,amiloride,0,CCAE
118,azilsartan,amiloride,0,CCAE
119,benazepril,amiloride,0,CCAE
120,betaxolol,amiloride,0,CCAE
121,bisoprolol,amiloride,0,CCAE
122,bumetanide,amiloride,0,CCAE
123,candesartan,amiloride,0,CCAE
124,captopril,amiloride,0,CCAE
125,carvedilol,amiloride,0,CCAE
126,chlorthalidone,amiloride,0,CCAE
127,clonidine,amiloride,0,CCAE
128,diltiazem,amiloride,0,CCAE
129,doxazosin,amiloride,0,CCAE
130,enalapril,amiloride,0,CCAE
131,eplerenone,amiloride,0,CCAE
132,eprosartan,amiloride,0,CCAE
133,felodipine,amiloride,0,CCAE
134,fosinopril,amiloride,0,CCAE
135,furosemide,amiloride,0,CCAE
136,guanfacine,amiloride,0,CCAE
137,hydralazine,amiloride,0,CCAE
138,hydrochlorothiazide,amiloride,0,CCAE
139,indapamide,amiloride,0,CCAE
140,irbesartan,amiloride,0,CCAE
141,isradipine,amiloride,0,CCAE
142,labetalol,amiloride,0,CCAE
143,lisinopril,amiloride,0,CCAE
144,losartan,amiloride,0,CCAE
145,methyldopa,amiloride,0,CCAE
146,metolazone,amiloride,0,CCAE
147,metoprolol,amiloride,0,CCAE
148,minoxidil,amiloride,0,CCAE
149,moexipril,amiloride,0,CCAE
150,nadolol,amiloride,0,CCAE
151,nebivolol,amiloride,0,CCAE
152,nicardipine,amiloride,0,CCAE
153,nifedipine,amiloride,0,CCAE
154,nisoldipine,amiloride,0,CCAE
155,olmesartan,amiloride,0,CCAE
156,penbutolol,amiloride,0,CCAE
157,perindopril,amiloride,0,CCAE
158,pindolol,amiloride,0,CCAE
159,prazosin,amiloride,0,CCAE
160,propranolol,amiloride,0,CCAE
161,quinapril,amiloride,0,CCAE
162,ramipril,amiloride,0,CCAE
163,spironolactone,amiloride,0,CCAE
164,telmisartan,amiloride,0,CCAE
165,terazosin,amiloride,0,CCAE
166,torsemide,amiloride,0,CCAE
167,trandolapril,amiloride,0,CCAE
168,triamterene,amiloride,0,CCAE
169,valsartan,amiloride,0,CCAE
170,verapamil,amiloride,0,CCAE
171,co-amilozide,amiloride,0,CCAE
172,atenolol,amlodipine,270247,CCAE
173,azilsartan,amlodipine,0,CCAE
174,benazepril,amlodipine,201621,CCAE
175,betaxolol,amlodipine,0,CCAE
176,bisoprolol,amlodipine,182962,CCAE
177,bumetanide,amlodipine,0,CCAE
178,candesartan,amlodipine,184922,CCAE
179,captopril,amlodipine,0,CCAE
180,carvedilol,amlodipine,195547,CCAE
181,chlorthalidone,amlodipine,194122,CCAE
182,clonidine,amlodipine,198702,CCAE
183,diltiazem,amlodipine,198620,CCAE
184,doxazosin,amlodipine,184994,CCAE
185,enalapril,amlodipine,212789,CCAE
186,eplerenone,amlodipine,0,CCAE
187,eprosartan,amlodipine,0,CCAE
188,felodipine,amlodipine,182510,CCAE
189,fosinopril,amlodipine,184094,CCAE
190,furosemide,amlodipine,209490,CCAE
191,guanfacine,amlodipine,0,CCAE
192,hydralazine,amlodipine,181515,CCAE
193,hydrochlorothiazide,amlodipine,465383,CCAE
194,indapamide,amlodipine,182392,CCAE
195,irbesartan,amlodipine,196454,CCAE
196,isradipine,amlodipine,0,CCAE
197,labetalol,amlodipine,217326,CCAE
198,lisinopril,amlodipine,818040,CCAE
199,losartan,amlodipine,281199,CCAE
200,methyldopa,amlodipine,189077,CCAE
201,metolazone,amlodipine,0,CCAE
202,metoprolol,amlodipine,355934,CCAE
203,minoxidil,amlodipine,0,CCAE
204,moexipril,amlodipine,0,CCAE
205,nadolol,amlodipine,183285,CCAE
206,nebivolol,amlodipine,175782,CCAE
207,nicardipine,amlodipine,0,CCAE
208,nifedipine,amlodipine,206967,CCAE
209,nisoldipine,amlodipine,0,CCAE
210,olmesartan,amlodipine,217138,CCAE
211,penbutolol,amlodipine,0,CCAE
212,perindopril,amlodipine,0,CCAE
213,pindolol,amlodipine,0,CCAE
