"targetId","targetName","comparatorId","comparatorName","targetSubjects","comparatorSubjects","targetSubjectsWithBp","comparatorSubjectsWithBp","covariateId","beforeMatchingMeanTarget","beforeMatchingMeanComparator","beforeMatchingSumTarget","beforeMatchingSumComparator","beforeMatchingSd","afterMatchingMeanTarget","afterMatchingMeanComparator","afterMatchingSumTarget","afterMatchingSumComparator","afterMatchingSd","covariateName","beforeMatchingStdDiff","afterMatchingStdDiff","targetType","comparatorType"
974166,"Hydrochlorothiazide",1395058,"Chlorthalidone",216442,15145,189156,13727,3004249,142.701669521453,145.672106068332,26992877,1999641,18.3546778065014,142.683486772854,144.471866421424,26992877,1999641,18.7823339145224,"BP systolic",-0.161835395760917,-0.0952160501835651,"Single","Single"
974166,"Hydrochlorothiazide",1395058,"Chlorthalidone",216442,15145,189156,13727,3012888,86.5539237454799,88.4268230494646,16372194,1213835,12.6625733857904,86.529691818088,87.2786056625178,16372194,1213835,12.9286914824324,"BP diastolic",-0.147908268479324,-0.0579264997890465,"Single","Single"
1,"ACE inhibitors",4,"Angiotensin receptor blockers (ARBs)",737065,207095,645475,173215,3012888,84.2173112823889,82.6161764281384,54360169,14310361,13.1028932561762,83.7054016005765,83.3960585004746,54360169,14310361,13.1489311410408,"BP diastolic",0.122197046327595,0.0235261023716519,"Single","Single"
1,"ACE inhibitors",4,"Angiotensin receptor blockers (ARBs)",737065,207095,645475,173215,3004249,140.681027150548,139.505071731663,90806086,24164371,19.6088732984991,140.360470036093,139.899818520866,90806086,24164371,19.5939009427904,"BP systolic",0.0599705756156369,0.0235099440673764,"Single","Single"
4,"Angiotensin receptor blockers (ARBs)",5,"Beta blockers - cardioselective",207097,345345,173215,283842,3012888,82.6161764281384,80.4048449489505,14310361,22822272,13.4727306987361,81.307368635415,80.933320860704,14310361,22822272,13.6492744146273,"BP diastolic",0.164133873721341,0.0274042240890251,"Single","Single"
4,"Angiotensin receptor blockers (ARBs)",5,"Beta blockers - cardioselective",207097,345345,173215,283842,3004249,139.505071731663,136.455630244995,24164371,38731839,20.2743297781562,138.451823679937,137.077347196566,24164371,38731839,20.4853283179361,"BP systolic",0.15040899107565,0.067095653144504,"Single","Single"
1,"ACE inhibitors",5,"Beta blockers - cardioselective",737065,345344,645475,283842,3012888,84.2173112823889,80.4048449489505,54360169,22822272,13.6877473890744,83.0276580351853,82.1545930784327,54360169,22822272,13.7360246889797,"BP diastolic",0.278531318928459,0.0635602349676278,"Single","Single"
1,"ACE inhibitors",5,"Beta blockers - cardioselective",737065,345344,645475,283842,3004249,140.681027150548,136.455630244995,90806086,38731839,20.4524149296655,139.766518334022,138.089614429771,90806086,38731839,20.5023418928523,"BP systolic",0.206596478708428,0.081790846773274,"Single","Single"
1,"ACE inhibitors",10,"Dihydropyridine calcium channel blockers (dCCB)",737065,227898,645475,199140,3004249,140.681027150548,143.274163904791,90806086,28531617,20.2159979502543,140.920453316225,142.928955564066,90806086,28531617,20.0942832291231,"BP systolic",-0.128271518458972,-0.099953913505638,"Single","Single"
1,"ACE inhibitors",10,"Dihydropyridine calcium channel blockers (dCCB)",737065,227898,645475,199140,3012888,84.2173112823889,84.6262779953801,54360169,16852477,13.72878359717,84.0572531308458,84.9553508304643,54360169,16852477,13.6247498198543,"BP diastolic",-0.0297889984277633,-0.0659166378460607,"Single","Single"
