"targetId","targetName","comparatorId","comparatorName","covariateId","beforeMatchingMeanTarget","beforeMatchingMeanComparator","beforeMatchingSumTarget","beforeMatchingSumComparator","beforeMatchingSd","afterMatchingMeanTarget","afterMatchingMeanComparator","afterMatchingSumTarget","afterMatchingSumComparator","afterMatchingSd","covariateName","beforeMatchingStdDiff","afterMatchingStdDiff","targetType","comparatorType"
974166,"Hydrochlorothiazide",1395058,"Chlorthalidone",3004249,142.701669521453,145.672106068332,26992877,1999641,18.3546778065014,142.912090701891,142.248704121678,26949608,1996065,18.5078176703023,"BP systolic",-0.161835395760917,0.0358435873980687,"Single","Single"
974166,"Hydrochlorothiazide",1395058,"Chlorthalidone",3012888,86.5539237454799,88.4268230494646,16372194,1213835,12.6625733857904,86.6965827417723,86.2918977410518,16345960,1211697,12.723504774534,"BP diastolic",-0.147908268479324,0.0318060949315179,"Single","Single"
1,"ACE inhibitors",4,"Angiotensin receptor blockers (ARBs)",3012888,84.2173112823889,82.6161764281384,54360169,14310361,13.1028932561762,83.8389813525031,83.954870039269,54255388,14271464,13.2633988627592,"BP diastolic",0.122197046327595,-0.00873748033705463,"Single","Single"
1,"ACE inhibitors",4,"Angiotensin receptor blockers (ARBs)",3004249,140.681027150548,139.505071731663,90806086,24164371,19.6088732984991,140.393596767734,140.405989473667,90629153,24097916,19.71482602466,"BP systolic",0.0599705756156369,-0.000628598290269295,"Single","Single"
4,"Angiotensin receptor blockers (ARBs)",5,"Beta blockers - cardioselective",3012888,82.6161764281384,80.4048449489505,14310361,22822272,13.4727306987361,81.0517512340364,81.1224664341489,14271464,22698362,13.6579590271821,"BP diastolic",0.164133873721341,-0.00517758180206714,"Single","Single"
4,"Angiotensin receptor blockers (ARBs)",5,"Beta blockers - cardioselective",3004249,139.505071731663,136.455630244995,24164371,38731839,20.2743297781562,137.692479740249,137.508982406601,24097916,38516248,20.5543369277743,"BP systolic",0.15040899107565,0.00892742657148749,"Single","Single"
1,"ACE inhibitors",5,"Beta blockers - cardioselective",3012888,84.2173112823889,80.4048449489505,54360169,22822272,13.6877473890744,83.01024565943,83.0582407883165,54255388,22698362,13.7375094271462,"BP diastolic",0.278531318928459,-0.00349372854963069,"Single","Single"
1,"ACE inhibitors",5,"Beta blockers - cardioselective",3004249,140.681027150548,136.455630244995,90806086,38731839,20.4524149296655,139.489576100391,139.487997471852,90629153,38516248,20.4031403737487,"BP systolic",0.206596478708428,7.7371841327993e-05,"Single","Single"
1,"ACE inhibitors",10,"Dihydropyridine calcium channel blockers (dCCB)",3004249,140.681027150548,143.274163904791,90806086,28531617,20.2159979502543,141.355570744424,141.471786147105,90629153,28453628,20.1092273415523,"BP systolic",-0.128271518458972,-0.00577920775903914,"Single","Single"
1,"ACE inhibitors",10,"Dihydropyridine calcium channel blockers (dCCB)",3012888,84.2173112823889,84.6262779953801,54360169,16852477,13.72878359717,84.2560945770869,84.3620214884088,54255388,16806612,13.5670804759876,"BP diastolic",-0.0297889984277633,-0.00780764229337405,"Single","Single"
